VITORIA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
General2015;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
21 Abri.;;0;3;0;0;61;;2;0;;0;;0;0;149;;1;;1;1;8;;2;;;0;0;0;;11;0;;51;5;242;11;1;11;0;1;4;;0;0;;0;0;7;572;11;;
22 Abri.;;1;1;0;0;9;;6;0;;0;;0;0;50;;1;;0;0;4;;1;;;0;0;0;;11;0;;11;1;90;1;1;3;0;0;14;;0;0;;0;0;2;207;3;;
23 Abri.;;1;0;0;0;22;;3;0;;0;;0;0;34;;1;;0;1;3;;8;;;0;0;0;;3;0;;15;2;74;5;0;86;1;0;2;;0;0;;0;0;7;268;1;;
24 Abri.;;1;1;0;0;11;;1;0;;0;;0;0;201;;0;;1;0;7;;5;;;0;0;0;;26;0;;10;0;80;3;0;18;1;1;3;;0;0;;0;0;0;370;5;;
25 Abri.;;0;8;0;0;5;;1;0;;0;;0;0;73;;0;;0;0;3;;2;;;0;0;0;;9;0;;5;0;75;1;0;8;0;0;6;;0;0;;0;0;0;196;0;;
26 Abri.;;0;0;0;0;0;;0;0;;0;;0;0;7;;0;;0;0;0;;0;;;0;0;0;;3;0;;3;0;13;0;0;0;0;1;0;;0;0;;0;0;1;28;0;;
27 Abri.;;1;0;0;0;0;;0;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;6;0;;0;0;3;0;0;1;0;0;0;;0;0;;0;0;0;13;0;;
28 Abri.;;0;0;0;0;1;;0;0;;0;;0;0;0;;0;;0;0;0;;1;;;0;0;0;;1;0;;1;1;4;1;0;17;0;0;1;;0;0;;0;0;0;28;0;;
29 Abri.;;0;1;0;0;3;;0;0;;0;;0;0;5;;0;;0;1;0;;0;;;0;0;0;;2;0;;1;5;7;1;0;22;0;1;1;;0;0;;0;0;1;51;0;;
30 Abri.;;1;8;1;0;3;;0;0;;0;;0;0;70;;0;;1;0;0;;2;;;0;0;0;;9;0;;8;2;43;4;1;45;0;3;7;;0;0;;0;0;3;211;8;;
1  May.;;0;1;0;0;1;;0;0;;0;;0;0;11;;0;;1;0;0;;1;;;0;0;0;;12;0;;1;1;16;2;0;11;0;1;0;;0;0;;0;0;2;61;1;;
2  May.;;0;6;0;0;0;;1;0;;0;;0;0;23;;0;;4;0;0;;5;;;0;0;0;;39;0;;16;12;24;11;0;111;0;5;7;;0;0;;0;0;9;273;7;;
3  May.;;0;8;0;0;1;;1;0;;0;;0;0;37;;0;;2;0;1;;5;;;0;0;0;;17;0;;6;2;23;11;0;76;0;2;1;;0;0;;0;0;5;198;9;;
4  May.;;4;37;0;0;2;;3;0;;0;;1;0;135;;1;;11;0;1;;10;;;0;0;0;;38;14;;90;16;52;34;0;584;0;7;6;;0;0;;0;0;4;1050;17;;
5  May.;;0;11;0;0;2;;0;0;;0;;0;0;29;;0;;0;0;0;;1;;;0;0;0;;3;0;;15;0;1;12;0;34;0;5;1;;0;0;;0;0;1;115;3;;
6  May.;;1;8;0;0;3;;0;0;;0;;0;0;70;;0;;1;0;0;;2;;;0;0;0;;5;0;;8;2;43;4;1;45;0;3;7;;0;0;;0;0;3;206;12;;
7  May.;;1;9;0;0;0;;1;0;;0;;1;0;150;;3;;4;0;0;;2;;;0;0;0;;16;32;;202;28;6;66;0;790;1;10;5;;0;0;;0;0;3;1330;28;;
8  May.;;1;17;0;0;1;;2;0;;0;;1;0;32;;0;;5;0;1;;1;;;0;0;0;;6;2;;54;9;3;34;0;95;0;5;0;;0;0;;0;0;2;271;2;;
9  May.;;0;4;0;0;1;;1;0;;0;;0;0;12;;1;;5;0;0;;1;;;0;0;0;;5;0;;16;7;1;19;0;79;1;2;1;;0;0;;0;0;5;161;1;;
10 May.;;1;3;0;0;0;;1;0;;0;;0;0;87;;13;;6;0;0;;1;;;0;0;0;;11;16;;88;23;0;70;0;566;1;3;2;;1;0;;0;0;7;900;5;;
11 May.;;0;5;0;0;0;;3;0;;0;;3;0;94;;14;;1;0;0;;0;;;0;0;0;;8;60;;194;31;2;92;1;798;0;1;1;;0;0;;0;0;11;1319;8;;
