;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
5 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;2;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
6 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;4;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6;0;;
7 Mar.;;0;0;4;0;0;;0;0;;0;;0;1;1;;0;;0;2;0;;0;;;0;0;0;;0;0;;2;0;0;1;1;0;0;0;2;;0;0;;0;0;0;14;0;;
8 Mar.;;0;0;2;0;0;;0;0;;0;;0;0;2;;0;;0;0;0;;0;;;0;0;0;;0;0;;15;0;1;0;0;0;0;0;0;;0;0;;0;0;0;20;0;;
9 Mar.;;0;0;0;0;0;;0;0;;0;;0;1;3;;0;;0;1;0;;0;;;0;0;0;;0;0;;5;0;0;0;0;0;0;0;1;;0;0;;0;0;0;11;0;;
10 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;2;0;;
11 Mar.;;0;0;3;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;1;0;;1;0;1;1;0;0;0;0;1;;0;0;;0;0;1;11;0;;
12 Mar.;;0;0;41;0;0;;0;0;;0;;0;4;10;;0;;0;0;4;;0;;;0;0;0;;0;0;;7;0;0;1;0;1;0;0;2;;0;0;;0;0;0;70;0;;
13 Mar.;;0;0;30;0;0;;0;0;;0;;0;2;17;;0;;0;0;4;;0;;;0;0;0;;1;0;;4;0;0;1;5;1;0;0;4;;0;0;;0;0;0;69;0;;
14 Mar.;;0;0;53;0;0;;0;0;;0;;0;10;31;;0;;0;1;1;;0;;;0;0;0;;0;0;;45;0;0;2;0;0;0;0;4;;0;0;;0;0;1;148;0;;
15 Mar.;;0;0;82;0;0;;0;0;;0;;1;4;26;;0;;0;0;1;;0;;;0;0;0;;0;0;;309;0;0;0;0;0;0;0;4;;0;0;;0;0;1;428;0;;
16 Mar.;;0;0;12;0;0;;0;0;;0;;0;2;12;;0;;0;0;0;;0;;;0;0;0;;0;0;;9;0;0;2;0;0;0;0;0;;0;0;;0;0;1;38;0;;
17 Mar.;;0;0;20;0;0;;0;0;;0;;0;2;4;;0;;1;2;2;;0;;;0;1;0;;0;0;;25;0;0;0;1;0;0;0;1;;0;0;;0;0;2;61;0;;
18 Mar.;;0;0;79;0;0;;0;0;;0;;0;9;7;;0;;0;1;1;;0;;;0;2;0;;0;0;;58;0;0;4;1;2;0;0;4;;0;0;;1;0;1;170;0;;
19 Mar.;;0;0;19;0;0;;0;0;;0;;0;1;13;;0;;0;1;1;;0;;;0;0;0;;1;0;;50;0;0;1;0;0;0;0;40;;0;0;;1;0;1;129;0;;
20 Mar.;;0;0;14;0;0;;0;0;;0;;0;2;2;;0;;0;0;1;;0;;;0;1;0;;0;0;;28;0;0;0;1;0;0;0;1;;0;0;;1;0;1;52;0;;
21 Mar.;;0;0;19;0;0;;0;0;;0;;0;2;10;;0;;0;0;2;;1;;;0;0;0;;1;0;;5;0;0;0;2;1;0;0;2;;0;0;;0;0;3;48;0;;
22 Mar.;;0;0;10;0;0;;0;0;;0;;0;2;9;;0;;0;0;2;;0;;;0;0;0;;0;0;;7;0;0;0;1;1;0;0;2;;0;0;;0;0;0;34;1;;
23 Mar.;;0;0;13;0;0;;0;0;;0;;0;4;7;;0;;0;0;3;;0;;;0;0;0;;1;0;;5;0;0;1;3;0;0;0;11;;0;0;;1;0;1;50;0;;
24 Mar.;;0;0;11;0;0;;0;0;;0;;0;7;10;;0;;0;2;1;;0;;;0;1;0;;1;0;;7;0;2;1;2;1;0;0;9;;0;0;;0;0;1;56;0;;
25 Mar.;;0;0;12;0;0;;0;0;;0;;0;5;21;;0;;0;0;2;;0;;;0;0;0;;1;0;;50;0;1;1;1;1;0;1;17;;0;0;;1;0;2;116;0;;
26 Mar.;;0;0;25;0;0;;0;0;;0;;0;8;22;;0;;1;5;7;;0;;;0;0;0;;1;0;;97;0;1;2;1;2;0;0;5;;0;0;;0;0;4;181;0;;
27 Mar.;;0;0;8;0;0;;3;0;;0;;0;2;39;;0;;3;6;5;;0;;;0;0;0;;0;0;;63;0;1;2;2;1;0;0;13;;0;0;;0;0;4;152;0;;
28 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;2;;0;;;0;0;0;;1;0;;13;0;1;1;1;1;0;0;5;;0;0;;0;0;4;31;0;;
29 Mar.;;0;0;2;0;0;;0;0;;0;;0;4;40;;0;;0;3;14;;0;;;0;0;0;;0;0;;25;0;7;5;1;5;0;2;5;;0;0;;0;0;2;115;0;;
30 Mar.;;0;0;8;0;0;;0;0;;0;;0;5;13;;0;;0;2;11;;0;;;0;0;0;;0;0;;25;0;7;1;0;2;0;1;28;;0;0;;0;0;4;107;1;;
31 Mar.;;0;0;2;0;2;;0;0;;0;;0;0;2;;0;;0;0;2;;0;;;0;0;0;;0;0;;2;0;8;0;0;5;0;1;0;;0;0;;0;0;1;25;0;;
1  Abr.;;0;0;4;0;0;;0;0;;0;;0;1;4;;0;;0;0;4;;1;;;0;1;0;;1;0;;1;0;15;2;1;5;0;0;2;;0;0;;0;0;1;43;0;;
2  Abr.;;0;0;4;0;1;;1;0;;0;;1;4;13;;0;;0;0;8;;0;;;0;0;0;;2;0;;7;0;68;4;4;6;0;2;3;;0;0;;0;1;8;137;0;;
3  Abr.;;0;0;4;0;0;;0;0;;0;;0;1;23;;0;;0;1;23;;4;;;0;0;0;;7;0;;9;0;139;2;5;6;0;1;1;;0;0;;0;0;5;231;0;;
4  Abr.;;0;0;0;0;0;;0;0;;0;;0;0;2;;0;;0;0;8;;0;;;0;0;0;;2;0;;2;0;11;0;5;9;0;0;3;;0;0;;0;0;1;43;0;;
5  Abr.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;4;;0;;;0;0;0;;0;0;;1;0;22;0;5;6;0;0;1;;0;0;;0;0;1;42;0;;
