;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.016;;Acer;Aesculus;Alnus;Artemisia;Betula;Buxus;Carex;Castanea;Casuarina;Cedrus;Cistaceae;Compositae (otras);Corylus;Cupress/Taxaceae;Cyperus;Chenopo/Amarant;Equium;Ericaceae;Eucalyptus;Fraxinus;Gleditsia;Juglans;Juncaceae;Labiateae;Ligustrum;Mercurialis;Mimosa;Morus;No identificados;Olea;Palmaceae;Pinus;Plantago;Platanus;Poaceae;Populus;Quercus;Rosacea;Rumex;Salix;Sophora;Taraxacum;Tilia;Typha;Ulmus;Umbelliferae;Urticaceae; TOTAL;Alternaria;;
19 Feb.;;0;0;20;0;0;;0;0;;0;;0;2;0;;0;;0;0;1;;0;;;0;0;0;;1;0;;35;0;0;1;0;1;0;0;1;;0;0;;0;0;0;62;0;;
20 Feb.;;0;0;34;0;0;;0;0;;0;;0;9;10;;0;;0;0;1;;0;;;0;0;0;;1;0;;57;0;0;0;0;2;0;0;1;;0;0;;0;0;0;115;0;;
21 Feb.;;0;0;82;1;0;;0;0;;0;;0;14;28;;0;;0;0;2;;0;;;0;0;0;;1;0;;174;0;0;3;1;2;0;0;6;;0;0;;1;0;0;315;1;;
22 Feb.;;0;0;6;0;0;;0;0;;0;;0;5;4;;0;;0;1;0;;0;;;0;0;0;;0;0;;11;0;0;0;0;0;0;0;1;;0;0;;0;0;2;30;0;;
23 Feb.;;0;0;49;0;0;;0;0;;0;;0;6;2;;0;;0;0;1;;0;;;0;0;0;;0;0;;217;0;0;0;0;0;0;0;1;;0;0;;0;0;0;276;0;;
24 Feb.;;0;0;20;0;0;;0;0;;0;;0;3;4;;0;;0;0;1;;0;;;0;0;0;;0;0;;9;0;0;0;1;0;0;0;0;;0;0;;1;0;0;39;0;;
25 Feb.;;0;0;58;0;0;;0;0;;0;;0;7;16;;0;;0;0;4;;0;;;0;0;0;;2;0;;53;0;0;0;2;2;0;0;1;;0;0;;1;0;1;147;0;;
26 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
27 Feb.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;1;0;1;0;0;0;;0;0;;0;0;0;3;0;;
28 Feb.;;0;0;4;0;0;;0;0;;0;;0;5;4;;0;;0;4;0;;0;;;0;0;0;;0;0;;39;0;0;1;0;1;0;0;3;;0;0;;1;0;0;62;0;;
29 Feb;;0;0;1;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;1;;0;0;;0;0;0;;0;;
1 Mar.;;0;0;8;0;0;;0;0;;0;;0;2;6;;0;;0;0;0;;0;;;0;0;0;;0;0;;43;0;0;0;0;0;0;0;0;;0;0;;0;0;0;59;0;;
2 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
3 Mar.;;0;0;41;0;0;;0;0;;0;;0;5;7;;0;;0;1;1;;0;;;0;0;1;;2;0;;136;0;0;0;0;2;0;0;0;;0;0;;0;0;1;197;0;;
4 Mar.;;0;0;49;0;0;;0;0;;0;;0;11;1;;0;;0;0;0;;0;;;0;0;0;;2;0;;188;0;0;0;1;1;0;1;2;;0;0;;0;0;1;257;0;;
5 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;;
6 Mar.;;0;0;0;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;1;0;;
7 Mar.;;0;0;6;0;0;;0;0;;0;;0;0;0;;0;;0;0;0;;0;;;0;0;0;;0;0;;3;0;0;1;0;0;0;0;0;;0;0;;0;0;0;10;0;;
8 Mar.;;0;0;7;0;0;;0;0;;0;;0;1;1;;0;;0;0;0;;0;;;0;1;0;;1;0;;3;0;0;0;0;0;0;0;1;;0;0;;0;0;0;15;0;;
9 Mar.;;0;0;1;0;0;;0;0;;0;;0;0;1;;0;;0;0;0;;0;;;0;0;0;;0;0;;1;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3;0;;
