Fecha;Ciudad;Año;Platanus;Corylus;Cupress/Taxaceae;Alnus;Ulmus;Populus;Betula;Quercus;Olea;Poaceae;Urticaceae;Plantago;Castanea;Alternaria;Pinus;Fraxinus;Salix;Ligustrum;Chenopo/Amarant
27 Mar.;Bilbao;2014;5.0;0.0;8.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;8.0;7.0;6.0;0.0;0.0
28 Mar.;Bilbao;2014;73.0;0.0;111.0;0.0;0.0;0.0;12.0;29.0;0.0;1.0;8.0;2.0;0.0;1.0;40.0;17.0;13.0;0.0;0.0
29 Mar.;Bilbao;2014;40.0;0.0;63.0;0.0;1.0;1.0;8.0;32.0;0.0;0.0;12.0;1.0;0.0;2.0;40.0;15.0;7.0;0.0;0.0
30 Mar.;Bilbao;2014;34.0;0.0;98.0;0.0;0.0;3.0;13.0;36.0;0.0;1.0;11.0;1.0;0.0;0.0;19.0;16.0;6.0;0.0;0.0
31 Mar.;Bilbao;2014;73.0;0.0;89.0;1.0;0.0;1.0;16.0;76.0;0.0;1.0;15.0;2.0;0.0;4.0;19.0;20.0;4.0;0.0;0.0
1  Abr.;Bilbao;2014;73.0;0.0;154.0;1.0;0.0;0.0;32.0;88.0;0.0;2.0;19.0;4.0;0.0;7.0;34.0;22.0;2.0;0.0;0.0
2  Abr.;Bilbao;2014;32.0;0.0;82.0;0.0;0.0;0.0;17.0;28.0;0.0;0.0;7.0;1.0;0.0;0.0;14.0;7.0;0.0;0.0;0.0
3  Abr.;Bilbao;2014;15.0;0.0;3.0;1.0;0.0;1.0;10.0;12.0;0.0;3.0;4.0;0.0;0.0;0.0;6.0;1.0;2.0;0.0;0.0
4  Abr.;Bilbao;2014;17.0;0.0;7.0;0.0;1.0;2.0;13.0;55.0;0.0;1.0;14.0;2.0;0.0;1.0;8.0;1.0;2.0;0.0;0.0
5  Abr.;Bilbao;2014;16.0;0.0;11.0;0.0;0.0;1.0;8.0;34.0;0.0;1.0;15.0;1.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0
6  Abr.;Bilbao;2014;54.0;0.0;53.0;0.0;0.0;2.0;57.0;145.0;0.0;10.0;24.0;7.0;0.0;1.0;19.0;1.0;7.0;0.0;0.0
7  Abr.;Bilbao;2014;17.0;0.0;12.0;0.0;0.0;4.0;37.0;45.0;0.0;2.0;32.0;2.0;0.0;0.0;17.0;9.0;0.0;0.0;0.0
8  Abr.;Bilbao;2014;9.0;0.0;2.0;0.0;0.0;0.0;7.0;14.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0
9  Abr.;Bilbao;2014;44.0;0.0;7.0;0.0;0.0;5.0;10.0;55.0;0.0;1.0;11.0;2.0;0.0;0.0;10.0;5.0;1.0;0.0;0.0
10 Abri.;Bilbao;2014;2.0;0.0;4.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0
11 Abri.;Bilbao;2014;0.0;0.0;2.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
12 Abri.;Bilbao;2014;1.0;0.0;1.0;0.0;0.0;0.0;2.0;11.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
13 Abri.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
14 Abri.;Bilbao;2014;21.0;0.0;19.0;0.0;0.0;1.0;29.0;80.0;0.0;4.0;9.0;4.0;0.0;0.0;11.0;2.0;2.0;0.0;0.0
15 Abri.;Bilbao;2014;16.0;0.0;22.0;0.0;0.0;1.0;50.0;90.0;0.0;5.0;20.0;2.0;0.0;0.0;20.0;3.0;1.0;0.0;0.0
16 Abri.;Bilbao;2014;0.0;0.0;2.0;0.0;0.0;1.0;4.0;7.0;0.0;1.0;10.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
17 Abri.;Bilbao;2014;0.0;1.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
18 Abri.;Bilbao;2014;0.0;0.0;3.0;0.0;0.0;0.0;3.0;10.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19 Abri.;Bilbao;2014;0.0;0.0;8.0;0.0;0.0;0.0;4.0;10.0;0.0;1.0;10.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0
20 Abri.;Bilbao;2014;0.0;0.0;2.0;0.0;0.0;0.0;1.0;9.0;0.0;1.0;14.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
21 Abri.;Bilbao;2014;5.0;0.0;23.0;0.0;0.0;2.0;10.0;7.0;0.0;0.0;6.0;2.0;0.0;1.0;4.0;4.0;1.0;0.0;0.0
22 Abri.;Bilbao;2014;4.0;0.0;8.0;0.0;0.0;1.0;2.0;27.0;0.0;1.0;7.0;3.0;0.0;0.0;7.0;3.0;3.0;0.0;0.0
23 Abri.;Bilbao;2014;10.0;0.0;14.0;0.0;0.0;1.0;9.0;34.0;0.0;3.0;10.0;2.0;0.0;0.0;19.0;3.0;2.0;0.0;0.0
24 Abri.;Bilbao;2014;3.0;0.0;12.0;0.0;0.0;1.0;16.0;34.0;0.0;4.0;12.0;5.0;0.0;1.0;13.0;1.0;0.0;0.0;0.0
25 Abri.;Bilbao;2014;5.0;0.0;13.0;0.0;0.0;1.0;14.0;46.0;0.0;8.0;11.0;2.0;0.0;1.0;15.0;4.0;0.0;0.0;0.0
26 Abri.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;1.0;5.0;7.0;0.0;2.0;1.0;1.0;0.0;0.0;7.0;3.0;0.0;0.0;0.0
27 Abri.;Bilbao;2014;1.0;0.0;2.0;0.0;0.0;0.0;5.0;4.0;0.0;3.0;8.0;4.0;0.0;0.0;5.0;1.0;0.0;0.0;0.0
28 Abri.;Bilbao;2014;1.0;0.0;1.0;0.0;1.0;1.0;2.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0
29 Abri.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;4.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0
30 Abri.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;10.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1  May.;Bilbao;2014;0.0;0.0;2.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;3.0;4.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0
2  May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
3  May.;Bilbao;2014;1.0;0.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;1.0;13.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
4  May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;2.0;22.0;0.0;28.0;1.0;7.0;0.0;0.0;8.0;0.0;2.0;0.0;0.0
5  May.;Bilbao;2014;1.0;0.0;30.0;0.0;0.0;0.0;8.0;61.0;1.0;13.0;19.0;7.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0
6  May.;Bilbao;2014;1.0;0.0;11.0;0.0;0.0;0.0;14.0;61.0;4.0;19.0;13.0;7.0;0.0;0.0;11.0;0.0;0.0;0.0;1.0
7  May.;Bilbao;2014;1.0;0.0;2.0;0.0;0.0;0.0;5.0;19.0;1.0;8.0;19.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
8  May.;Bilbao;2014;0.0;0.0;2.0;0.0;0.0;0.0;4.0;49.0;1.0;6.0;16.0;5.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0
9  May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;7.0;17.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
10 May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;1.0;19.0;0.0;10.0;32.0;7.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
11 May.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;2.0;10.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
12 May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;1.0;8.0;0.0;2.0;9.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
13 May.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;4.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
14 May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0;28.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
15 May.;Bilbao;2014;1.0;0.0;2.0;0.0;0.0;0.0;1.0;38.0;0.0;72.0;7.0;8.0;0.0;0.0;13.0;0.0;0.0;1.0;0.0
16 May.;Bilbao;2014;0.0;0.0;2.0;0.0;0.0;0.0;1.0;30.0;0.0;50.0;15.0;8.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
17 May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;1.0;20.0;0.0;31.0;16.0;10.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0
18 May.;Bilbao;2014;0.0;0.0;19.0;0.0;0.0;0.0;0.0;251.0;0.0;54.0;19.0;13.0;0.0;0.0;54.0;0.0;0.0;29.0;3.0
19 May.;Bilbao;2014;0.0;0.0;4.0;0.0;0.0;0.0;0.0;163.0;4.0;39.0;22.0;13.0;0.0;1.0;70.0;0.0;0.0;2.0;1.0
20 May.;Bilbao;2014;1.0;0.0;4.0;0.0;0.0;0.0;0.0;145.0;4.0;73.0;7.0;6.0;0.0;1.0;71.0;0.0;0.0;14.0;2.0
21 May.;Bilbao;2014;2.0;0.0;4.0;0.0;0.0;0.0;2.0;96.0;0.0;32.0;7.0;2.0;0.0;1.0;40.0;0.0;0.0;4.0;1.0
22 May.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;5.0;4.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0
23 May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;1.0;9.0;0.0;1.0;2.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0
24 May.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;10.0;7.0;1.0;0.0;0.0;14.0;0.0;0.0;0.0;0.0
25 May.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;5.0;2.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0
26 May.;Bilbao;2014;0.0;0.0;0.0;0.0;0.0;1.0;0.0;14.0;0.0;5.0;16.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
27 May.;Bilbao;2014;0.0;0.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;11.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
